EventTime	aTemp	RH	DP	cTemp	mTemp	sLid	sVacuu	sPressure	IsOkay
20230405171811	17.41	0.83	-41.38	9.28	12.33	1	1	1	1
20230405171812	17.41	0.89	-40.71	9.23	12.3	1	1	1	1
20230405171813	17.39	0.93	-40.3	9.21	12.24	1	1	1	1
20230405171814	17.39	0.91	-40.51	9.16	12.24	1	1	1	1
20230405171816	17.37	0.94	-40.21	9.13	12.19	1	1	1	1
20230405171817	17.37	0.93	-40.32	9.11	12.19	1	1	1	1
20230405171818	17.35	0.87	-40.97	9.06	12.13	1	1	1	1
20230405171819	17.35	0.93	-40.33	9.03	12.13	1	1	1	1
20230405171820	17.34	0.94	-40.23	8.96	12.13	1	1	1	1
20230405171821	17.35	0.85	-41.19	8.98	12.07	1	1	1	1
20230405171822	17.34	0.96	-40.03	8.94	12.07	1	1	1	1
20230405171823	17.33	0.94	-40.24	8.91	12.01	1	1	1	1
20230405171824	17.3	0.91	-40.57	8.86	11.98	1	1	1	1
20230405171825	17.3	0.96	-40.05	8.86	11.98	1	1	1	1
20230405171826	17.3	0.94	-40.26	8.81	11.98	1	1	1	1
20230405171828	17.28	0.91	-40.58	8.79	11.92	1	1	1	1
20230405171829	17.28	0.94	-40.27	8.79	11.89	1	1	1	1
20230405171830	17.27	0.89	-40.8	8.76	11.89	1	1	1	1
20230405171831	17.25	0.96	-40.08	8.71	11.86	1	1	1	1
20230405171832	17.25	0.91	-40.6	8.69	11.89	1	1	1	1
20230405171833	17.25	0.94	-40.29	8.64	11.84	1	1	1	1
20230405171834	17.24	0.89	-40.82	8.66	11.84	1	1	1	1
20230405171835	17.23	0.94	-40.3	8.64	11.84	1	1	1	1
20230405171836	17.23	0.92	-40.51	8.61	11.84	1	1	1	1
20230405171837	17.23	0.96	-40.1	8.59	11.78	1	1	1	1
20230405171838	17.21	0.9	-40.73	8.59	11.75	1	1	1	1
20230405171840	17.23	0.89	-40.82	8.56	11.75	1	1	1	1
20230405171841	17.21	0.85	-41.27	8.51	11.72	1	1	1	1
20230405171842	17.23	0.94	-40.3	8.46	11.69	1	1	1	1
20230405171843	17.19	0.9	-40.74	8.41	11.66	1	1	1	1
20230405171844	17.19	0.92	-40.53	8.34	11.63	1	1	1	1
20230405171845	17.18	0.9	-40.75	8.29	11.63	1	1	1	1
20230405171846	17.17	0.92	-40.54	8.24	11.6	1	1	1	1
20230405171847	17.15	0.9	-40.76	8.19	11.57	1	1	1	1
20230405171848	17.17	0.83	-41.52	8.11	11.51	1	1	1	1
20230405171849	17.13	0.9	-40.78	8.06	11.51	1	1	1	1
20230405171850	17.14	0.9	-40.77	8.01	11.46	1	1	1	1
20230405171852	17.11	0.94	-40.37	7.94	11.43	1	1	1	1
20230405171853	17.11	0.94	-40.37	7.91	11.34	1	1	1	1
20230405171854	17.15	0.88	-40.98	7.86	11.31	1	1	1	1
20230405171855	17.1	0.92	-40.58	7.81	11.31	1	1	1	1
20230405171856	17.11	0.94	-40.37	7.76	11.28	1	1	1	1
20230405171857	17.11	0.88	-41.0	7.74	11.25	1	1	1	1
20230405171858	17.1	0.92	-40.58	7.69	11.19	1	1	1	1
20230405171859	17.08	0.86	-41.24	7.64	11.16	1	1	1	1
20230405171900	17.08	0.88	-41.02	7.59	11.11	1	1	1	1
20230405171901	17.07	0.9	-40.81	7.54	11.16	1	1	1	1
20230405171903	17.08	0.94	-40.39	7.54	11.11	1	1	1	1
20230405171904	17.07	0.9	-40.81	7.49	11.05	1	1	1	1
20230405171905	17.05	0.9	-40.82	7.44	11.05	1	1	1	1
20230405171906	17.03	0.84	-41.49	7.44	10.99	1	1	1	1
20230405171907	17.04	0.97	-40.11	7.39	10.96	1	1	1	1
20230405171908	17.04	0.86	-41.26	7.34	10.93	1	1	1	1
20230405171909	17.04	0.95	-40.31	7.34	10.9	1	1	1	1
20230405171910	17.0	0.92	-40.64	7.29	10.87	1	1	1	1
20230405171911	17.0	0.97	-40.14	7.27	10.9	1	1	1	1
20230405171912	16.98	0.93	-40.55	7.24	10.84	1	1	1	1
20230405171913	17.0	0.92	-40.64	7.22	10.82	1	1	1	1
20230405171915	16.98	0.9	-40.87	7.19	10.79	1	1	1	1
20230405171916	16.94	0.84	-41.55	7.14	10.79	1	1	1	1
20230405171917	17.0	0.86	-41.29	7.14	10.79	1	1	1	1
20230405171918	16.98	0.9	-40.87	7.12	10.79	1	1	1	1
20230405171919	16.95	0.88	-41.1	7.12	10.76	1	1	1	1
20230405171920	16.95	0.89	-40.99	7.07	10.7	1	1	1	1
20230405171921	16.94	0.88	-41.11	7.04	10.7	1	1	1	1
20230405171922	16.94	0.91	-40.79	7.02	10.67	1	1	1	1
20230405171923	16.94	0.91	-40.79	7.02	10.67	1	1	1	1
20230405171924	16.94	0.86	-41.32	6.99	10.67	1	1	1	1
20230405171926	16.94	0.88	-41.11	6.97	10.67	1	1	1	1
20230405171927	16.93	0.89	-41.0	6.94	10.64	1	1	1	1
20230405171928	16.91	0.86	-41.34	6.94	10.61	1	1	1	1
20230405171929	16.88	0.91	-40.82	6.92	10.61	1	1	1	1
20230405171930	16.88	0.91	-40.82	6.92	10.58	1	1	1	1
20230405171931	16.9	0.91	-40.81	6.92	10.58	1	1	1	1
20230405171932	16.87	0.91	-40.83	6.89	10.55	1	1	1	1
20230405171933	16.88	0.93	-40.61	6.89	10.55	1	1	1	1
20230405171934	16.87	0.89	-41.04	6.87	10.55	1	1	1	1
20230405171935	16.87	0.91	-40.83	6.82	10.55	1	1	1	1
20230405171936	16.87	0.97	-40.22	6.79	10.53	1	1	1	1
20230405171938	16.86	1.0	-39.93	6.72	10.47	1	1	1	1
20230405171939	16.86	0.87	-41.26	6.67	10.47	1	1	1	1
20230405171940	16.84	0.91	-40.85	6.64	10.44	1	1	1	1
20230405171941	16.84	0.87	-41.27	6.59	10.44	1	1	1	1
20230405171942	16.84	0.91	-40.85	6.55	10.41	1	1	1	1
20230405171943	16.83	0.85	-41.5	6.52	10.35	1	1	1	1
20230405171944	16.82	0.87	-41.29	6.42	10.26	1	1	1	1
20230405171945	16.82	0.87	-41.29	6.4	10.29	1	1	1	1
20230405171946	16.83	0.89	-41.06	6.37	10.26	1	1	1	1
20230405171947	16.83	0.91	-40.85	6.3	10.18	1	1	1	1
20230405171948	16.79	0.91	-40.88	6.3	10.18	1	1	1	1
20230405171949	16.8	0.91	-40.87	6.25	10.15	1	1	1	1
20230405171951	16.82	0.89	-41.07	6.17	10.12	1	1	1	1
20230405171952	16.79	0.87	-41.3	6.17	10.12	1	1	1	1
20230405171953	16.77	0.87	-41.32	6.12	10.09	1	1	1	1
20230405171954	16.76	0.89	-41.11	6.1	10.06	1	1	1	1
20230405171955	16.77	0.87	-41.32	6.07	10.03	1	1	1	1
20230405171956	16.77	0.93	-40.68	6.05	10.0	1	1	1	1
20230405171957	16.76	0.89	-41.11	6.0	9.97	1	1	1	1
20230405171958	16.76	0.89	-41.11	6.0	9.97	1	1	1	1
20230405171959	16.76	0.89	-41.11	5.95	9.94	1	1	1	1
20230405172000	16.76	0.93	-40.69	5.92	9.92	1	1	1	1
